fold,train_years,test_year,n_train,mean_mae,var_mae,skew_mae,kurt_mae,cov_fro
-3,1,2002,261,0.00023274275622341568,8.95504532617123e-06,0.8510277437977306,11.483743700463304,0.5814349466222309
-2,2,2003,522,0.0004905635709216912,7.3982733729305685e-06,0.24188035107329817,1.0014154568036886,0.48278391336627446
-1,3,2004,783,0.0002024214090630373,1.3008746182445097e-05,0.227086178377042,1.740474247891385,1.23451781359072
0,4,2005,1045,0.00027998481276435207,1.2741265047721706e-05,0.38937394696803135,1.2817862795239496,1.9337243519757676
